weaponName,omnvarIdx,stringRef,image,<column 4>
iw8_sh_charlie725,77,WEAPON/SH_CHARLIE725,icon_weapon_sh_charlie725,rand_shotgun+rand_primary+rand_weapon
iw8_sh_dpapa12,78,WEAPON/SH_DPAPA12,icon_weapon_sh_dpapa12,rand_shotgun+rand_primary
iw8_sh_mike26,79,WEAPON/SH_MIKE26,icon_weapon_sh_mike26,rand_shotgun+rand_primary
iw8_sh_oscar12,80,WEAPON/SH_OSCAR12,icon_weapon_sh_oscar12,rand_shotgun+rand_primary
iw8_sh_romeo870,81,WEAPON/SH_ROMEO870,icon_weapon_sh_romeo870,rand_shotgun+rand_primary
iw8_sh_t9fullauto,82,WEAPON_TANGO/SH_T9FULLAUTO,ui_loot_weapon_sh_t9fullauto,rand_shotgun+rand_primary
iw8_sh_t9pump,83,WEAPON_TANGO/SH_T9PUMP,ui_loot_weapon_sh_t9pump,rand_shotgun+rand_primary
iw8_sh_t9semiauto,84,WEAPON_TANGO/SH_T9SEMIAUTO,ui_loot_weapon_sh_t9semiauto,rand_shotgun+rand_primary
iw8_pi_cpapa,85,WEAPON/PI_CPAPA,icon_weapon_pi_cpapa,rand_pistol
iw8_pi_decho,86,WEAPON/PI_DECHO,icon_weapon_pi_decho,rand_pistol
iw8_pi_golf21,87,WEAPON/PI_GOLF21,icon_weapon_pi_golf21,rand_pistol
iw8_pi_mike,88,WEAPON/PI_MIKE,ui_loot_weapon_pi_mike,rand_pistol
iw8_pi_mike1911,89,WEAPON/PI_MIKE1911,icon_weapon_pi_mike_1911,rand_pistol
iw8_pi_mike9,90,WEAPON/PI_MIKE9,icon_weapon_pi_mike9,rand_pistol
iw8_pi_papa320,91,WEAPON/PI_PAPA320,icon_weapon_pi_papa320,rand_pistol
iw8_pi_t9burst,92,WEAPON_TANGO/PI_T9BURST,ui_loot_weapon_pi_t9burst,rand_pistol
iw8_pi_t9fullauto,93,WEAPON_YANKEE/PI_T9FULLAUTO,ui_loot_weapon_pi_t9burst,rand_pistol
iw8_pi_t9pistolshot,94,WEAPON_BAKER/pi_t9pistolshot,ui_loot_weapon_sm_t9standard,rand_pistol
iw8_pi_t9revolver,95,WEAPON_TANGO/PI_T9REVOLVER,ui_loot_weapon_pi_t9revolver,rand_pistol
iw8_pi_t9semiauto,96,WEAPON_TANGO/PI_T9SEMIAUTO,ui_loot_weapon_pi_t9semiauto,rand_pistol
iw8_la_gromeo,97,WEAPON/LA_GROMEO,icon_weapon_la_gromeo,rand_launcher
iw8_la_juliet,98,WEAPON/LA_JULIET,icon_weapon_la_juliet,rand_launcher
iw8_la_kgolf,99,WEAPON/LA_KGOLF,icon_weapon_la_kgolf,rand_launcher
iw8_la_rpapa7,100,WEAPON/LA_RPAPA7,icon_weapon_la_rpapa7,rand_launcher
iw8_la_t9freefire,101,WEAPON_TANGO/LA_T9FREEFIRE,ui_loot_weapon_la_t9freefire,rand_launcher
iw8_la_t9launcher,102,WEAPON_TANGO/LA_T9LAUNCHER,ui_loot_weapon_la_t9launcher,rand_launcher
iw8_la_t9standard,103,WEAPON_TANGO/LA_T9STANDARD,ui_loot_weapon_la_t9standard,rand_launcher
iw8_knife,104,WEAPON/KNIFE_ONLY,icon_weapon_me_soscar_knife,rand_melee
iw8_me_akimboblades,105,WEAPON/AKIMBO_BLADES,icon_weapon_me_sword,rand_melee
iw8_me_akimboblunt,106,WEAPON/AKIMBO_BLUNT,icon_weapon_me_kali_sticks,rand_melee
iw8_me_riotshield,107,WEAPON/ME_RIOTSHIELD,icon_weapon_me_riotshield,rand_primary+rand_melee
iw8_me_t9ballisticknife,108,WEAPON_XRAY/ME_T9BALLISTICKNIFE,ui_loot_weapon_me_t9sledgehammer,rand_melee
iw8_me_t9bat,109,WEAPON_ZULU/ME_T9BAT,ui_loot_weapon_me_t9bat,rand_melee
iw8_me_t9cane,110,WEAPON_ACTOR/ME_T9CANE,ui_loot_weapon_me_t9sledgehammer,rand_melee
iw8_me_t9etool,111,WEAPON_TANGO/ME_T9ETOOL,ui_loot_weapon_me_t9sledgehammer,rand_melee
iw8_me_t9loadout,112,WEAPON_TANGO/ME_T9LOADOUT,ui_loot_weapon_me_t9loadout,rand_melee
iw8_me_t9mace,113,WEAPON_ACTOR/ME_T9MACE,ui_loot_weapon_me_t9sledgehammer,rand_melee
iw8_me_t9machete,114,WEAPON_TANGO/ME_T9MACHETE,ui_loot_weapon_me_t9sledgehammer,rand_melee
iw8_me_t9sledgehammer,115,WEAPON_TANGO/ME_T9SLEDGEHAMMER,ui_loot_weapon_me_t9sledgehammer,rand_melee
iw8_me_t9wakizashi,116,WEAPON_TANGO/ME_T9WAKIZASHI,ui_loot_weapon_me_t9wakizashi,rand_melee
equip_snowball,120,EQUIPMENT/SNOWBALL,hud_icon_equipment_snowball,rand_lethal
equip_claymore,121,EQUIPMENT/CLAYMORE,hud_icon_equipment_claymore,rand_lethal
equip_frag,122,EQUIPMENT/FRAG,hud_icon_equipment_frag,rand_lethal
equip_molotov,123,EQUIPMENT/MOLOTOV,hud_icon_equipment_molotov,rand_lethal
equip_c4,124,EQUIPMENT/C4,hud_icon_equipment_c4,rand_lethal
equip_semtex,125,EQUIPMENT/SEMTEX,hud_icon_equipment_semtex,rand_lethal
equip_throwing_knife_fire,126,EQUIPMENT/THROWING_KNIFE_FIRE,hud_icon_equipment_throwing_knife_fire,rand_lethal
equip_thermite,129,EQUIPMENT/THERMITE,hud_icon_equipment_thermite,rand_lethal
equip_at_mine,130,EQUIPMENT/AT_MINE,hud_icon_equipment_at_mine,rand_lethal
equip_trophy,135,EQUIPMENT/TROPHY,hud_icon_equipment_trophy,rand_tactical
equip_flash,136,EQUIPMENT/FLASH,hud_icon_equipment_flash,rand_tactical
equip_concussion,137,EQUIPMENT/CONCUSSION,hud_icon_equipment_stun,rand_tactical
equip_smoke,138,EQUIPMENT/SMOKE,hud_icon_equipment_smoke,rand_tactical
equip_snapshot_grenade,139,EQUIPMENT/SNAPSHOT_GRENADE,hud_icon_equipment_snapshot,rand_tactical
equip_adrenaline,140,EQUIPMENT/ADRENALINE,hud_icon_equipment_stim,rand_tactical
equip_decoy,142,EQUIPMENT/DECOY,hud_icon_equipment_decoy,rand_tactical
none,144,WEAPON/FISTS,icon_weapon_me_fists,
